sample_id,stage,y,x,max_abs_error,cpu_r,cpu_g,cpu_b,candidate_r,candidate_g,candidate_b
IMG_0342_converted,rgb_out,49,102,8.034686498048504e-05,0.3509345648711145,0.5138079916917115,0.6366342944130473,0.35085421800613403,0.513819694519043,0.636629045009613
IMG_0342_converted,rgb_out,27,28,7.81231830838669e-05,0.7392500453899625,0.7940984497807649,0.8051444234724324,0.7391719222068787,0.7941327691078186,0.8051483631134033
IMG_0342_converted,rgb_out,76,52,7.069173352669544e-05,0.748095453410315,0.79891672890559,0.7974540130950952,0.7480247616767883,0.7989535331726074,0.7974535226821899
IMG_0342_converted,rgb_out,41,99,7.000720079208822e-05,0.7430261686998155,0.7905968969441465,0.8073377735749352,0.7429561614990234,0.7906247973442078,0.8073437809944153
IMG_0342_converted,rgb_out,59,101,6.686478540063323e-05,0.7215409162609255,0.7871423707013144,0.7708073723125629,0.7214740514755249,0.7871785759925842,0.7707931995391846
IMG_0342_converted,rgb_out,24,16,6.630809089502865e-05,0.7567972222068008,0.8021835146503028,0.8052955980527653,0.7567309141159058,0.802219033241272,0.8052977919578552
IMG_0342_converted,rgb_out,25,18,6.376693601495287e-05,0.6220000285899151,0.7049536184766616,0.7482178906940226,0.6219362616539001,0.7049679756164551,0.7482123970985413
IMG_0342_converted,rgb_out,72,24,5.681407048829801e-05,0.8028358112613904,0.7684033195630939,0.725332439838717,0.8028926253318787,0.7683721780776978,0.7253390550613403
IMG_0342_converted,rgb_out,27,24,5.455231955220352e-05,0.6143828771143215,0.69809896998518,0.7409725579026518,0.6143283247947693,0.6981154084205627,0.7409681081771851
IMG_0342_converted,rgb_out,27,23,5.3029183646025047e-05,0.515067677621146,0.6045171453429513,0.6659516702483743,0.5150146484375,0.6045249104499817,0.6659463047981262
IMG_0342_converted,rgb_out,23,11,5.209367826974898e-05,0.6060705177123884,0.6980060408279696,0.7492277015796298,0.6060184240341187,0.6980231404304504,0.7492210865020752
IMG_0342_converted,rgb_out,48,105,5.046930070051747e-05,0.8649059096360671,0.6035912719078792,0.15958072975541504,0.8649563789367676,0.603547215461731,0.1595821976661682
IMG_0342_converted,rgb_out,26,19,4.799203860278434e-05,0.37173740105616565,0.4792462205088384,0.5479358148374892,0.37168940901756287,0.47925812005996704,0.5479320883750916
IMG_0342_converted,rgb_out,18,95,4.765745719004233e-05,0.804487254652185,0.7793001904923371,0.7589701841238177,0.804534912109375,0.7792839407920837,0.7589645385742188
IMG_0342_converted,rgb_out,66,100,4.58052298860645e-05,0.6325238039634066,0.6638374381434813,0.6657150878537681,0.6324779987335205,0.6638423800468445,0.6657111644744873
IMG_0342_converted,rgb_out,24,14,4.511047376998256e-05,0.6030365722276152,0.6907970379757907,0.7453288283897564,0.6029914617538452,0.6908172369003296,0.7453224062919617
IMG_0342_converted,rgb_out,25,17,4.4759607429112336e-05,0.5584933196543507,0.6468714208013239,0.7012083274859088,0.5585380792617798,0.6468541622161865,0.7012162208557129
IMG_0342_converted,rgb_out,37,13,4.4700997980373636e-05,0.8035534049094598,0.7816810854296609,0.723378558212413,0.8035981059074402,0.7816724181175232,0.7233777642250061
IMG_0342_converted,rgb_out,21,95,4.421928276177045e-05,0.8071748687947834,0.7822566911067005,0.7495875205891098,0.8072190880775452,0.7822445631027222,0.7495808005332947
IMG_0342_converted,rgb_out,35,1,4.419925429061111e-05,0.3477074528000517,0.4664349118319992,0.55036969210835,0.3476632535457611,0.46643102169036865,0.5503660440444946
IMG_0342_converted,rgb_out,46,71,4.4017418197372926e-05,0.6365504556735074,0.6927642835197361,0.681084922643299,0.6365064382553101,0.6927785873413086,0.6810795068740845
IMG_0342_converted,rgb_out,48,110,4.3344336231099234e-05,0.7445107816035346,0.7111992524547882,0.668332069058175,0.7444674372673035,0.7112135291099548,0.6683245897293091
IMG_0342_converted,rgb_out,48,104,4.2343674894085304e-05,0.8904131201433793,0.6781480556118448,0.18899961848162625,0.890453577041626,0.6781057119369507,0.18900322914123535
IMG_0342_converted,rgb_out,28,28,4.196357337604706e-05,0.557918069843372,0.6440383364516212,0.7053353425452903,0.557960033416748,0.6440204977989197,0.7053436636924744
IMG_0342_converted,rgb_out,48,60,4.1795319132120756e-05,0.3738456195054572,0.4346824276527996,0.4728174911131781,0.3738038241863251,0.43468624353408813,0.47281354665756226
