sample_id,stage,y,x,max_abs_error,cpu_r,cpu_g,cpu_b,candidate_r,candidate_g,candidate_b
IMG_2972,materialized_rgb_out,87,40,0.00010689376567496467,0.1538654792187084,0.4877655144104938,0.6862030665436867,0.15375858545303345,0.4877774119377136,0.6861679553985596
IMG_2972,materialized_rgb_out,89,43,9.474134997411454e-05,0.007288409279552982,0.3230834821337803,0.5555187168066116,0.007303020916879177,0.32305821776390076,0.5556134581565857
IMG_2972,materialized_rgb_out,89,31,9.445945598413052e-05,0.2892022589860134,0.5867000546503306,0.7411652821105466,0.2891077995300293,0.5867058634757996,0.7411535978317261
IMG_2972,materialized_rgb_out,87,43,9.140237692523145e-05,0.13444685801390338,0.48917767526707306,0.6796487106800713,0.13435545563697815,0.48918265104293823,0.6796144843101501
IMG_2972,materialized_rgb_out,74,86,8.980059666441331e-05,0.864075028657486,0.7490502545530193,0.5941308298334301,0.8641648292541504,0.7489749789237976,0.5941485166549683
IMG_2972,materialized_rgb_out,75,82,8.685010047737585e-05,0.8592773614588183,0.7459796392333169,0.6061939244744955,0.8593642115592957,0.7459097504615784,0.6062145233154297
IMG_2972,materialized_rgb_out,70,86,8.403409809376594e-05,0.8768651569953511,0.750366756359458,0.5699744210728975,0.8769491910934448,0.7502884268760681,0.5699883699417114
IMG_2972,materialized_rgb_out,71,88,8.34398095341804e-05,0.8688291974242,0.7415050563175235,0.5608511879089397,0.8689126372337341,0.7414346933364868,0.5608645677566528
IMG_2972,materialized_rgb_out,71,87,8.290108074537894e-05,0.8785550088084758,0.750679491214053,0.57993406713067,0.8786379098892212,0.750601589679718,0.5799479484558105
IMG_2972,materialized_rgb_out,70,87,8.148699431942408e-05,0.8759828731474347,0.7427908091401496,0.5521487502489018,0.8760643601417542,0.7427175045013428,0.5521674752235413
IMG_2972,materialized_rgb_out,79,85,8.12748429901422e-05,0.8753996154310577,0.7424645765094184,0.5599420934996133,0.8754808902740479,0.7423924803733826,0.5599568486213684
IMG_2972,materialized_rgb_out,79,88,7.977269423031785e-05,0.8802595517801044,0.7484662402194611,0.5674138246282913,0.8803393244743347,0.748389482498169,0.5674280524253845
IMG_2972,materialized_rgb_out,87,28,7.899465156807617e-05,0.14824168743683114,0.5020015369083063,0.6773851850485121,0.14816269278526306,0.5020015835762024,0.6773614287376404
IMG_2972,materialized_rgb_out,81,87,7.821442290611991e-05,0.8697635400135868,0.7360820428147141,0.5522830045725533,0.8698417544364929,0.7360191941261292,0.5522986650466919
IMG_2972,materialized_rgb_out,91,40,7.806666065190981e-05,0.007833847756520256,0.12915278884886683,0.3758754884464648,0.007847428321838379,0.12912216782569885,0.3759535551071167
IMG_2972,materialized_rgb_out,80,88,7.787931199165765e-05,0.8829219580865374,0.7581659627146593,0.5777102264477993,0.882999837398529,0.7580890655517578,0.5777249932289124
IMG_2972,materialized_rgb_out,85,82,7.769862537343464e-05,0.8724182506429676,0.7362544587034351,0.5638712987949048,0.8724959492683411,0.7361920475959778,0.5638815760612488
IMG_2972,materialized_rgb_out,75,86,7.760482984831008e-05,0.8715211753253336,0.7720208020321261,0.60953764044894,0.8715987801551819,0.7719607353210449,0.6095548868179321
IMG_2972,materialized_rgb_out,80,85,7.727212954566909e-05,0.8833352082247634,0.7607207495576043,0.5840805768737056,0.8834124803543091,0.760644793510437,0.5840968489646912
IMG_2972,materialized_rgb_out,86,86,7.67097992427912e-05,0.866439999528455,0.7344985548002462,0.5481469467832492,0.8665167093276978,0.734438419342041,0.548163115978241
IMG_2972,materialized_rgb_out,70,88,7.580648809624169e-05,0.8717224704131489,0.7336463513919681,0.550898101992268,0.8717982769012451,0.7335869669914246,0.5509135723114014
IMG_2972,materialized_rgb_out,80,84,7.489486712908278e-05,0.8719982190511754,0.7320062628472317,0.5486832807892181,0.8720731139183044,0.7319488525390625,0.5486985445022583
IMG_2972,materialized_rgb_out,85,85,7.413659148536311e-05,0.869300436639258,0.7310858531205507,0.5537500008508027,0.8693745732307434,0.7310311794281006,0.5537624359130859
IMG_2972,materialized_rgb_out,87,42,7.180731666961426e-05,0.1083382726825563,0.47408572839188784,0.6641608185693533,0.10826646536588669,0.4740959405899048,0.6641263365745544
IMG_2972,materialized_rgb_out,75,85,7.172533659027813e-05,0.8570010452589603,0.7330836427340777,0.5791763063595499,0.8570727705955505,0.7330318093299866,0.5791802406311035
