sample_id,name,shape,dtype,size,finite_count,nan_count,posinf_count,neginf_count,min,max,mean,std,negative_count,above_one_count,at_or_below_zero_count,at_or_above_one_count
IMG_4557,decoded_or_synthetic_source,96x128x3,float64,36864,36864,0,0,0,-5.9788501584757836e-05,0.813989909427116,0.03850389973416021,0.07712701823230693,1,0,1,0
IMG_4557,cpu_gui_prepared_input,96x128x3,float64,36864,36864,0,0,0,-5.9788501584757836e-05,0.813989909427116,0.03850389973416021,0.07712701823230693,1,0,1,0
IMG_4557,mlx_gui_prepared_input,96x128x3,float32,36864,36864,0,0,0,-5.9788500948343426e-05,0.8139899373054504,0.03850390017032623,0.07712701708078384,1,0,1,0
IMG_4557,cpu_rgb_in,96x128x3,float64,36864,36864,0,0,0,-5.9788501584757836e-05,0.813989909427116,0.03850389973416021,0.07712701823230693,1,0,1,0
IMG_4557,cpu_rgb_pre,96x128x3,float64,36864,36864,0,0,0,-5.9788501584757836e-05,0.813989909427116,0.03850389973416021,0.07712701823230693,1,0,1,0
IMG_4557,cpu_log_e_film,96x128x3,float64,36864,36864,0,0,0,-2.4230541593609867,0.6770251845859975,-1.1141766083295386,0.5546239277023614,34930,0,34930,0
IMG_4557,cpu_cmy_film,96x128x3,float64,36864,36864,0,0,0,0.0007412023046489749,1.106507633552266,0.2161335544444637,0.24282162814413585,0,307,0,307
IMG_4557,cpu_log_e_print,96x128x3,float64,36864,36864,0,0,0,-0.39897224935674297,0.8594336875986576,0.5885486867087943,0.2663813436900251,1953,0,1953,0
IMG_4557,cpu_cmy_print,96x128x3,float64,36864,36864,0,0,0,0.07144697096060887,2.4669115724567297,1.8448309724731056,0.531528104498024,0,33217,0,33217
IMG_4557,cpu_rgb_out,96x128x3,float64,36864,36864,0,0,0,0.01884946337507894,0.8465384321585294,0.12077734401636502,0.13265849769428392,0,0,0,0
IMG_4557,cpu_materialized_rgb_out,96x128x3,float64,36864,36864,0,0,0,0.01884946337507894,0.8465384321585294,0.12077734401636502,0.13265849769428392,0,0,0,0
IMG_4557,mlx_rgb_in,96x128x3,float32,36864,36864,0,0,0,-5.9788500948343426e-05,0.8139899373054504,0.03850390017032623,0.07712701708078384,1,0,1,0
IMG_4557,mlx_rgb_pre,96x128x3,float32,36864,36864,0,0,0,-5.9788500948343426e-05,0.8139899373054504,0.03850390017032623,0.07712701708078384,1,0,1,0
IMG_4557,mlx_log_e_film,96x128x3,float32,36864,36864,0,0,0,-2.4230549335479736,0.677025318145752,-1.114176630973816,0.5546239614486694,34930,0,34930,0
IMG_4557,mlx_cmy_film,96x128x3,float32,36864,36864,0,0,0,0.000741201511118561,1.1065077781677246,0.21613353490829468,0.24282163381576538,0,307,0,307
IMG_4557,mlx_log_e_print,96x128x3,float32,36864,36864,0,0,0,-0.3989711403846741,0.8594481945037842,0.5885511040687561,0.26638320088386536,1953,0,1953,0
IMG_4557,mlx_cmy_print,96x128x3,float32,36864,36864,0,0,0,0.07144761085510254,2.466914176940918,1.8448314666748047,0.5315284132957458,0,33217,0,33217
IMG_4557,mlx_rgb_out,96x128x3,float32,36864,36864,0,0,0,0.018829869106411934,0.8466001152992249,0.12077835202217102,0.13265813887119293,0,0,0,0
IMG_4557,mlx_materialized_rgb_out,96x128x3,float32,36864,36864,0,0,0,0.018829869106411934,0.8466001152992249,0.12077835202217102,0.13265813887119293,0,0,0,0
IMG_0342_converted,decoded_or_synthetic_source,96x128x3,float64,36864,36864,0,0,0,0.0014710782866405765,0.9574535676905866,0.04874026785981281,0.07981771610671648,0,0,0,0
IMG_0342_converted,cpu_gui_prepared_input,96x128x3,float64,36864,36864,0,0,0,0.0014710782866405765,0.9574535676905866,0.04874026785981281,0.07981771610671648,0,0,0,0
IMG_0342_converted,mlx_gui_prepared_input,96x128x3,float32,36864,36864,0,0,0,0.0014710782561451197,0.9574535489082336,0.048740264028310776,0.07981771230697632,0,0,0,0
