sample_id,stage,y,x,max_abs_error,cpu_r,cpu_g,cpu_b,candidate_r,candidate_g,candidate_b
IMG_4536,rgb_out,12,10,0.00015058226110442607,0.7403761357736777,0.808858503246701,0.8244427809046734,0.7402255535125732,0.8089136481285095,0.8244487643241882
IMG_4536,rgb_out,0,59,9.308883491365716e-05,0.7104219062024674,0.7990796092739353,0.810987454573066,0.7103288173675537,0.799124002456665,0.8109906911849976
IMG_4536,rgb_out,23,1,8.636749522816789e-05,0.7445157173945202,0.7949431940583804,0.8120698841447858,0.744429349899292,0.7949777841567993,0.8120763897895813
IMG_4536,rgb_out,0,5,7.265747346618667e-05,0.7386188501194928,0.7939890475544372,0.8007066558079051,0.7385461926460266,0.7940234541893005,0.8007084727287292
IMG_4536,rgb_out,16,16,7.211966682413307e-05,0.22513866229225138,0.36626820645840896,0.5259952225403977,0.22506654262542725,0.36628231406211853,0.5259894728660583
IMG_4536,rgb_out,2,9,6.993417388356793e-05,0.7490726292575017,0.7991130326887425,0.7974690481833794,0.7490026950836182,0.7991499900817871,0.7974684834480286
IMG_4536,rgb_out,35,25,6.81805716391537e-05,0.8322998356713418,0.7696592143766052,0.63646279013609,0.832368016242981,0.7696154713630676,0.6364694237709045
IMG_4536,rgb_out,27,51,6.354706828315404e-05,0.8074306164449004,0.7710987416677071,0.6888149044892719,0.8074941635131836,0.7710695266723633,0.6888203620910645
IMG_4536,rgb_out,3,103,6.174129717884114e-05,0.8109330030036634,0.7660179243275913,0.7604177562831307,0.8109947443008423,0.7659774422645569,0.7604197859764099
IMG_4536,rgb_out,13,51,6.154409561887064e-05,0.6216524564376904,0.6839908450755192,0.7453915764207013,0.6215909123420715,0.6840150356292725,0.7453850507736206
IMG_4536,rgb_out,2,57,6.095321465296455e-05,0.12384337188292308,0.31358659494765406,0.5072402870288453,0.12378241866827011,0.3135925233364105,0.5072236061096191
IMG_4536,rgb_out,12,38,6.0455161573602645e-05,0.7717973750414869,0.8135163815420082,0.8118894498824392,0.7717369198799133,0.81355220079422,0.8118918538093567
IMG_4536,rgb_out,12,52,5.994142425214122e-05,0.20454926194083844,0.42061282289342206,0.47987821040847684,0.2044893205165863,0.42060840129852295,0.47987085580825806
IMG_4536,rgb_out,17,9,5.924581109550964e-05,0.7972442519801948,0.7827889403093776,0.7912135764012153,0.7973034977912903,0.7827717661857605,0.7912180423736572
IMG_4536,rgb_out,14,65,5.858177843398593e-05,0.7703505658597023,0.8152440930639301,0.8080141824757432,0.7702919840812683,0.815279483795166,0.8080152869224548
IMG_4536,rgb_out,3,17,5.729903619194898e-05,0.09502699633281136,0.1919729309089525,0.37502830978491736,0.09496969729661942,0.19198057055473328,0.3750176727771759
IMG_4536,rgb_out,7,46,5.478103024314507e-05,0.6281392617927248,0.6944785384244557,0.7337121309541514,0.6280844807624817,0.6944959759712219,0.7337096333503723
IMG_4536,rgb_out,18,3,5.227187549211587e-05,0.13946282723819353,0.29040192788664465,0.4488462607473431,0.13941055536270142,0.29041239619255066,0.4488372802734375
IMG_4536,rgb_out,9,35,5.0835377893521105e-05,0.7272015736171819,0.7867766151155537,0.787331502681414,0.7271507382392883,0.7868043184280396,0.7873267531394958
IMG_4536,rgb_out,3,65,4.964947562080546e-05,0.819959045649959,0.7870053713528194,0.7167427123382734,0.8200086951255798,0.7869915962219238,0.7167428135871887
IMG_4536,rgb_out,18,40,4.90015096009655e-05,0.7330847447461427,0.7800791979639099,0.7795031620687694,0.7330357432365417,0.7801002264022827,0.7794970870018005
IMG_4536,rgb_out,9,122,4.855000303671808e-05,0.7456345876388399,0.7550707705892438,0.7653659866879452,0.7455860376358032,0.7550657391548157,0.7653661966323853
IMG_4536,rgb_out,15,62,4.7785333327055035e-05,0.7433807673966205,0.7806788571650741,0.7809652621006532,0.7433329820632935,0.7806981801986694,0.7809606790542603
IMG_4536,rgb_out,11,38,4.7668229005537466e-05,0.4400142872437455,0.5002507925019406,0.7097108112806787,0.43996661901474,0.5002670288085938,0.7097079157829285
IMG_4536,rgb_out,7,123,4.720721081385992e-05,0.6312276128275741,0.6340301894599941,0.6600279529869003,0.6311804056167603,0.6340306401252747,0.6600249409675598
