path,relative_path,folder,name,extension,size_bytes,size_mb,mtime
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0321_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0321_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0321_converted.DNG,.dng,20928264,19.959,1773497085
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0322_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0322_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0322_converted.DNG,.dng,20181622,19.247,1773497085
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0333_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0333_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0333_converted.DNG,.dng,19036434,18.155,1773497086
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0336_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0336_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0336_converted.DNG,.dng,18139408,17.299,1773497086
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0337_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0337_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0337_converted.DNG,.dng,18140782,17.3,1773497086
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0340_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0340_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0340_converted.DNG,.dng,19788406,18.872,1773497086
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0341_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0341_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0341_converted.DNG,.dng,20827338,19.862,1773497086
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0342_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0342_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0342_converted.DNG,.dng,65078392,62.064,1773497089
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0348_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0348_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0348_converted.DNG,.dng,15287850,14.58,1773497086
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0349_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0349_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0349_converted.DNG,.dng,15258864,14.552,1773497087
